AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
150A104CB0170,5.0,"147,148,149,150",结构,6,124,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0175,8.0,"147,148,149,150",结构,6,125,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0200,8.0,314,结构,4,126,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0220,8.0,314,结构,4,127,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0240,8.0,314,结构,4,128,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0010,5.0,"132,130",机械,2,129,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0020,5.0,139,机械,3,130,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0030,4.0,138,机械,4,131,"0,4,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0040,5.0,139,机械,3,132,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0050,3.0,"129,134,145,137",机械,2,133,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0060,5.0,"132,130",机械,3,134,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0070.01,4.0,138,机械,2,135,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0080,3.0,"133,144",机械,4,136,"0,4,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0090,3.0,"132,130",机械,4,137,"0,4,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0100,4.0,"140,141,142,143",机械,2,138,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CD0110.01,3.0,"155,131,135",机械,2,139,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CE0270,2.0,"154,156,157,158",特设,2,140,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CE0380,2.0,"154,156,157,158",特设,2,141,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CE2354,2.0,"154,156,157,158",特设,2,142,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CE2856,2.0,"154,156,157,158",特设,2,143,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CH0010,3.0,"129,134,145,137",机械,2,144,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CH0020,5.0,"132,130",机械,3,145,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CK0030,5.0,"114,115",结构,4,146,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CL0010,4.0,"112,153,151,152,123",结构,6,147,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CL0020,4.0,"112,153,151,152,123",结构,6,148,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CL0040,3.0,"112,153,151,152,123",结构,4,149,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CL0050,3.0,"112,153,151,152,123",结构,4,150,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0020,4.0,146,特设,2,151,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0030,4.0,146,特设,2,152,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0080,8.0,146,特设,3,153,"0,0,3","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0110,2.0,"126,127,128",特设,2,154,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0190,4.0,138,特设,4,155,"0,0,4","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0200,2.0,"126,127,128",特设,2,156,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0220,2.0,"126,127,128",特设,2,157,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CW0230,2.0,"126,127,128",特设,2,158,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DB0180,8.0,"179,181",结构,2,159,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DB0190,8.0,"180,182,183",结构,6,160,"6,0,0","0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DB0200,8.0,"180,182,183",结构,6,161,"6,0,0","0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DD0010,8.0,"159,175,178",机械,3,162,"0,3,0","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0070,4.0,"169,170",特设,2,163,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0075,4.0,"169,170",特设,2,164,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0080,4.0,"169,170",特设,2,165,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0085,4.0,"169,170",特设,2,166,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0100,2.0,"163,164,165,166",特设,4,167,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0110,2.0,314,特设,2,168,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0130,2.0,"168,171,173,172",特设,3,169,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0160,2.0,"168,171,173,172",特设,2,170,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0200,2.0,314,特设,2,171,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0250,2.0,314,特设,2,172,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DE0280,2.0,314,特设,2,173,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DG0010,8.0,"159,175,178",机械,4,174,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DG0020,8.0,"179,181",机械,3,175,"0,3,0","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DG0030,8.0,"160,161",机械,4,176,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DG0040,8.0,"160,161",机械,4,177,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DG0060,8.0,"179,181",机械,4,178,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DH0030,8.0,"176,177",机械,3,179,"0,3,0","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DH0040,4.0,"193,194,192",机械,2,180,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DH0050,8.0,"176,177",机械,2,181,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DH0060,4.0,"193,194,192",机械,2,182,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DH0070,4.0,"193,194,192",机械,2,183,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DK0020,4.0,"159,175,178",机械,2,184,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DK0030,4.0,"159,175,178",机械,2,185,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DL0010,4.0,"174,162,184,185",结构,4,186,"4,0,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DL0020,4.0,"174,162,184,185",结构,4,187,"4,0,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DL0040,2.5,"174,162,184,185",结构,2,188,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DL0050,6.0,"174,162,184,185",结构,2,189,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DL0060,2.0,"174,162,184,185",结构,2,190,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DL0070,2.5,"174,162,184,185",结构,2,191,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0010,2.0,"195,196,197",特设,3,192,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0020,2.0,"195,196,197",特设,4,193,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0030,2.0,"195,196,197",特设,4,194,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0040,2.0,"198,167,199",特设,4,195,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0050,2.0,"198,167,199",特设,4,196,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0060,2.0,"198,167,199",特设,3,197,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0090,2.0,"163,164,165,166",特设,3,198,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DW0100,2.0,"163,164,165,166",特设,4,199,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DZ0010,3.0,"174,162,184,185",特设,1,200,"0,0,1","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A105DZ0030,5.0,"174,162,184,185",结构,2,201,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EA0040,8.0,216,特设,2,202,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EA0050,3.0,"205,204",特设,2,203,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0070,4.0,"207,206",特设,2,204,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0080,4.0,"207,206",特设,2,205,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0090,4.0,"224,248,249,228,229",特设,2,206,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0110,4.0,"224,248,249,228,229",特设,2,207,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0290,4.0,210,特设,2,208,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0310,4.0,"211,208",特设,2,209,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0320,4.0,"202,214,215",特设,2,210,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0330,4.0,210,特设,2,211,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0340,4.0,"211,208",特设,2,212,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0350,4.0,"218,221",特设,2,213,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0370,4.0,216,特设,2,214,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0375,4.0,216,特设,2,215,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EE0380,4.0,213,特设,2,216,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EH0180,8.0,314,机械,2,217,"0,2,0","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EW0030,8.0,220,特设,4,218,"0,0,4","0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EW0040,5.0,"205,204",特设,4,219,"0,0,4","0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EW0060,8.0,217,特设,3,220,"0,0,3","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
150A106EW0070,8.0,220,特设,3,221,"0,0,3","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
150A106RA0010,4.0,"211,208",特设,2,222,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RA0020,4.0,"211,208",特设,2,223,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RD0010,8.0,"222,223,209,212",机械,5,224,"0,5,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0","0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0"
150A106RE0010,8.0,226,特设,2,225,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RE0020,4.0,314,特设,1,226,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
150A106RE0030,4.0,314,特设,1,227,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
150A106RE0040,4.0,"222,223,209,212",特设,2,228,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RE0045,4.0,"222,223,209,212",特设,2,229,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0010,5.0,"236,235",机械,2,230,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0040,5.0,"232,233,238,239,241",机械,2,231,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0045,4.0,"242,243,244",机械,2,232,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0050,8.0,"242,243,244",机械,3,233,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0"
150A106RH0080,5.0,"236,235",机械,2,234,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0090,8.0,"251,250",机械,4,235,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
150A106RH0095,8.0,"251,250",机械,4,236,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
150A106RH0210,5.0,"232,233,238,239,241",机械,2,237,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0220,4.0,"242,243,244",机械,2,238,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0230,4.0,"242,243,244",机械,2,239,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0240,5.0,"232,233,238,239,241",机械,3,240,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0"
150A106RH0250,4.0,"242,243,244",机械,2,241,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0260,8.0,"245,246",机械,3,242,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0"
150A106RH0270,8.0,"245,246",机械,4,243,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
150A106RH0280,8.0,"245,246",机械,4,244,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
150A106RH0290,8.0,247,机械,2,245,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0300,4.0,247,机械,2,246,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RH0310,8.0,252,机械,2,247,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RS0010,8.0,"222,223,209,212",结构,2,248,"2,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RS0020,8.0,"222,223,209,212",结构,2,249,"2,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RW0010,8.0,"225,253,256,257,254,255",特设,2,250,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RW0020,8.0,"225,253,256,257,254,255",特设,2,251,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RW0030,8.0,"258,259,227",特设,2,252,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
150A106RW0040,4.0,226,特设,2,253,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
